Skill,Count,Percentage,Definition,Evidence,Math Example
Algebraic Manipulation and Equation Derivation,1,0.3472222222222222,The ability to algebraic manipulation and equation derivation in mathematical problem-solving.,No evidence provided.,"Find the area of the region of the points such that the total of three tangent lines can be drawn to two parabolas  $y=x-x^2,\ y=a(x-x^2)\ (a\geq 2)$  in such a way that there existed the points of ta..."
Mathematical Modeling,1,0.3472222222222222,The ability to mathematical modeling in mathematical problem-solving.,No evidence provided.,1.2.2. A process called free convection occurs when the air density increases with altitude. At which values of $\Lambda$ does the free convection occur?
Intersection Finding,1,0.3472222222222222,The ability to intersection finding in mathematical problem-solving.,No evidence provided.,Let $\mathcal{R}$ be the region consisting of the set of points in the coordinate plane that satisfy both $|8 - x| + y \le 10$ and $3y - x \ge 15$ . When $\mathcal{R}$ is revolved around the line whos...
Strategic Redirection,1,0.3472222222222222,The ability to recognize when a solution path is becoming unwieldy and pivot to a more promising approach.,"After extensive calculations with distance formulas, the solver pivots: ""Let's use the fact that the center of the circle lies on the angle bisector of the exterior angle between the lines containing AD and BC.""","Trapezoid $ABCD^{}_{}$ has sides $AB=92^{}_{}$ , $BC=50^{}_{}$ , $CD=19^{}_{}$ , and $AD=70^{}_{}$ , with $AB^{}_{}$ parallel to $CD^{}_{}$ . A circle with center $P^{}_{}$ on $AB^{}_{}$ is drawn tang..."
Geometric Visualization,1,0.3472222222222222,The ability to geometric visualization in mathematical problem-solving.,No evidence provided.,"Suppose you have a sphere tangent to the  $xy$ -plane with its center having positive  $z$ -coordinate.  If it is projected from a point  $P=(0,b,a)$  to the  $xy$ -plane, it gives the conic section  ..."
Strategic Reframing,1,0.3472222222222222,The ability to strategic reframing in mathematical problem-solving.,No evidence provided.,"Let $ABCD$ be a convex quadrilateral with $AB = CD = 10$ , $BC = 14$ , and $AD = 2\sqrt{65}$ . Assume that the diagonals of $ABCD$ intersect at point $P$ , and that the sum of the areas of triangles $..."
Verification and Falsification,1,0.3472222222222222,The ability to verification and falsification in mathematical problem-solving.,No evidence provided.,"Let $ABCD$ be a convex quadrilateral with $AB = CD = 10$ , $BC = 14$ , and $AD = 2\sqrt{65}$ . Assume that the diagonals of $ABCD$ intersect at point $P$ , and that the sum of the areas of triangles $..."
Geometric Insight,1,0.3472222222222222,The ability to geometric insight in mathematical problem-solving.,No evidence provided.,"Let $ABCD$ be a convex quadrilateral with $AB = CD = 10$ , $BC = 14$ , and $AD = 2\sqrt{65}$ . Assume that the diagonals of $ABCD$ intersect at point $P$ , and that the sum of the areas of triangles $..."
Algebraic Transformation,1,0.3472222222222222,The ability to algebraic transformation in mathematical problem-solving.,No evidence provided.,"Let $ABCD$ be a convex quadrilateral with $AB = CD = 10$ , $BC = 14$ , and $AD = 2\sqrt{65}$ . Assume that the diagonals of $ABCD$ intersect at point $P$ , and that the sum of the areas of triangles $..."
Normalization Checking,1,0.3472222222222222,Verifying that quantum states satisfy the normalization condition (total probability equals 1).,"- ""Let's verify the normalization of each part:
  $(\frac{\sqrt{3}}{3})^2 + (\frac{\sqrt{6}}{3})^2 = \frac{3}{9} + \frac{6}{9} = \frac{9}{9} = 1$.""
- ""$(\frac{1}{\sqrt{2}})^2 + (\frac{1}{\sqrt{2}})^2 = \frac{1}{2} + \frac{1}{2} = 1$.""",Consider this quantum state
Mathematical Reformulation and Restructuring,1,0.3472222222222222,The ability to rewrite a mathematical expression in an equivalent but more useful form to gain insight or simplify the problem.,"- ""Let's rewrite this state: $\left|\psi\right\rangle = \frac{\sqrt{6}}{6} |0\rangle (|0\rangle + |1\rangle) + \frac{\sqrt{3}}{3} |1\rangle (|0\rangle + |1\rangle)$""
- ""We can further normalize the second part: $|0\rangle + |1\rangle = \sqrt{2} \left( \frac{1}{\sqrt{2}} |0\rangle + \frac{1}{\sqrt{2}} |1\rangle \right)$.""",Consider this quantum state
Geometric,1,0.3472222222222222,The ability to move fluidly between geometric intuition and algebraic representation.,"The solver translates the geometric concept of tangency into algebraic distance formulas:
```
The distance from P=(xp, 0) to the line 146hx - 7729y = 0 is r.","Trapezoid $ABCD^{}_{}$ has sides $AB=92^{}_{}$ , $BC=50^{}_{}$ , $CD=19^{}_{}$ , and $AD=70^{}_{}$ , with $AB^{}_{}$ parallel to $CD^{}_{}$ . A circle with center $P^{}_{}$ on $AB^{}_{}$ is drawn tang..."
Equation Formulation,1,0.3472222222222222,Converting geometric relationships into algebraic equations that can be solved.,"> ""The line EG passes through (0,0) and (5, h). The equation of the line is y = (h/5)x.""
> ""Area = (1/2) × 10 × (10 + (10 - 100/h)) = 5 × (20 - 100/h) = 100 - 500/h.""","Square $AIME$ has sides of length $10$ units.  Isosceles triangle $GEM$ has base $EM$ , and the area common to triangle $GEM$ and square $AIME$ is $80$ square units.  Find the length of the altitude t..."
Verification and Consistency Checking,1,0.3472222222222222,The practice of validating intermediate results to ensure correctness and consistency.,"""Check if a+b = (7729+2929)/146 = 10658/146 = 73. Correct."" and ""Also C = (a+19, h) = (7729/146 + 19, h) = ... = (10503/146, h). Consistent.""","Trapezoid $ABCD^{}_{}$ has sides $AB=92^{}_{}$ , $BC=50^{}_{}$ , $CD=19^{}_{}$ , and $AD=70^{}_{}$ , with $AB^{}_{}$ parallel to $CD^{}_{}$ . A circle with center $P^{}_{}$ on $AB^{}_{}$ is drawn tang..."
Algebraic System Formation and Manipulation,1,0.3472222222222222,The ability to translate geometric relationships into algebraic equations and solve the resulting system.,"```
We have a system of linear equations for a and b:
a+b = 73
a-b = 2400/73

Adding the two equations: 2a = 73 + 2400/73 = (73² + 2400)/73 = (5329 + 2400)/73 = 7729/73.","Trapezoid $ABCD^{}_{}$ has sides $AB=92^{}_{}$ , $BC=50^{}_{}$ , $CD=19^{}_{}$ , and $AD=70^{}_{}$ , with $AB^{}_{}$ parallel to $CD^{}_{}$ . A circle with center $P^{}_{}$ on $AB^{}_{}$ is drawn tang..."
Constraint Analysis and Exploitation,1,0.3472222222222222,Identifying and leveraging the mathematical constraints inherent in the problem.,"""Since the circle is tangent to BC and AD, the distance from the center P to these sides is equal to the radius r.""","Trapezoid $ABCD^{}_{}$ has sides $AB=92^{}_{}$ , $BC=50^{}_{}$ , $CD=19^{}_{}$ , and $AD=70^{}_{}$ , with $AB^{}_{}$ parallel to $CD^{}_{}$ . A circle with center $P^{}_{}$ on $AB^{}_{}$ is drawn tang..."
Decomposition of Complex Problems,1,0.3472222222222222,The ability to decomposition of complex problems in mathematical problem-solving.,No evidence provided.,"FemtoPravis is walking on an $8 \times 8$ chessboard that wraps around at its edges (so squares on the left edge of the chessboard are adjacent to squares on the right edge, and similarly for the top ..."
Coordinate System Establishment,1,0.3472222222222222,The ability to strategically set up a coordinate system to represent a geometric problem in algebraic terms.,"""We can set up a coordinate system such that A=(0,0) and B=(92,0). Since P is on AB, the coordinates of P are (x, 0) where 0 < x < 92.""","Trapezoid $ABCD^{}_{}$ has sides $AB=92^{}_{}$ , $BC=50^{}_{}$ , $CD=19^{}_{}$ , and $AD=70^{}_{}$ , with $AB^{}_{}$ parallel to $CD^{}_{}$ . A circle with center $P^{}_{}$ on $AB^{}_{}$ is drawn tang..."
Logical Contradiction Identification,1,0.3472222222222222,Recognizing when a potential solution contradicts given constraints.,"> ""If the intersection area is 80, then 5y = 80, so y = 16. However, this contradicts the

Identified Skills:","Square $AIME$ has sides of length $10$ units.  Isosceles triangle $GEM$ has base $EM$ , and the area common to triangle $GEM$ and square $AIME$ is $80$ square units.  Find the length of the altitude t..."
Spatial Visualization,1,0.3472222222222222,The ability to mentally manipulate and understand spatial relationships between geometric objects.,"> ""The intersection of ∆GEM and square AIME is a trapezoid with vertices E=(0,0), M=(10,0), P₁ = (50/h, 10), P₂ = (10 - 50/h, 10).""
> ""The parallel sides of the trapezoid are on the lines y=0 and y=10.""","Square $AIME$ has sides of length $10$ units.  Isosceles triangle $GEM$ has base $EM$ , and the area common to triangle $GEM$ and square $AIME$ is $80$ square units.  Find the length of the altitude t..."
Strategic Planning and Monitoring,1,0.3472222222222222,The ability to strategic planning and monitoring in mathematical problem-solving.,No evidence provided.,"A hexagon is inscribed in a circle. Five of the sides have length 81 and the sixth, denoted by $\overline{AB}$ , has length 31. Find the sum of the lengths of the three diagonals that can be drawn fro..."
